site_name,latitude,longitude,age_bin,age_mid,period_name,richness,shannon_H,evenness,openness,roc_chord
Abborrtjärnen,63.88333,14.45,"[0, 1000)",500.0,Historical,7.8,1.4481564205053623,0.7065918935701927,0.11082340550901955,0.07742179106437735
Abborrtjärnen,63.88333,14.45,"[1000, 4000)",2500.0,Late Holocene,6.923076923076923,1.2683400517274692,0.6697776619577573,0.031775246406169765,0.10581824728384558
Abborrtjärnen,63.88333,14.45,"[4000, 8000)",6000.0,Mid Holocene,6.738095238095238,1.2493846197099152,0.6687545243312008,0.01173349137785093,0.09872104089433728
Abborrtjärnen,63.88333,14.45,"[8000, 11500)",9750.0,Early Holocene,6.933333333333334,1.1900555330766063,0.622733781042958,0.03184922699347228,0.17247015545409058
Afstj¢rna,61.64917,9.87667,"[0, 1000)",500.0,Historical,10.88888888888889,1.9748832315817717,0.8338659512551739,0.0064826270253497366,0.20022309638446542
Afstj¢rna,61.64917,9.87667,"[1000, 4000)",2500.0,Late Holocene,10.461538461538462,1.7284272906100955,0.7407203722699881,0.007189906283374374,0.13627194041504803
Afstj¢rna,61.64917,9.87667,"[4000, 8000)",6000.0,Mid Holocene,9.642857142857142,1.6056415280139458,0.7126104004882888,0.0012049238727037351,0.1326250035646937
Afstj¢rna,61.64917,9.87667,"[8000, 11500)",9750.0,Early Holocene,8.368421052631579,1.416470342710483,0.6693374591123192,0.00531078720420462,0.12365822390171977
Agardhdalen,78.057,18.62,"[0, 1000)",500.0,Historical,6.428571428571429,1.013036934549447,0.5403855755737952,0.9501360353805542,0.30470538151957755
Agardhdalen,78.057,18.62,"[1000, 4000)",2500.0,Late Holocene,6.476190476190476,1.0424109847367293,0.5500400593469408,0.8601696614117293,0.5061334714546043
Agardhdalen,78.057,18.62,"[4000, 8000)",6000.0,Mid Holocene,6.5,0.8742163605640516,0.46299744100517853,0.974506420250199,0.36954494960883494
Aholammi,61.8947,25.21692,"[1000, 4000)",2500.0,Late Holocene,8.6875,1.507271683442057,0.7021189091597139,0.013406854062490607,0.1379971487054417
Aholammi,61.8947,25.21692,"[4000, 8000)",6000.0,Mid Holocene,8.19047619047619,1.4644518840417415,0.7056825066803423,0.011236679151992526,0.11009886820540059
Aholammi,61.8947,25.21692,"[8000, 11500)",9750.0,Early Holocene,8.25,1.3722203893797813,0.6542810645716024,0.08357481370033099,0.13850191983581708
Aholammi,61.8947,25.21692,"[11500, 21500)",16500.0,Late Pleistocene,11.0,1.5863086599686487,0.6615420940037171,0.16364283173247954,0.2801782677508302
Akuvaara,69.12326,27.67406,"[0, 1000)",500.0,Historical,6.666666666666667,1.0818532263519491,0.5708036475717272,0.03561409316313135,0.04870777076035812
Akuvaara,69.12326,27.67406,"[1000, 4000)",2500.0,Late Holocene,6.7,1.0452142980905699,0.5558318482641517,0.03760942435372776,0.06695108494003627
Akuvaara,69.12326,27.67406,"[4000, 8000)",6000.0,Mid Holocene,5.3076923076923075,0.9807159914213147,0.6069000065394382,0.027618211883835377,0.0735932558634448
Akuvaara,69.12326,27.67406,"[8000, 11500)",9750.0,Early Holocene,7.625,1.0728539045502363,0.5259534718527801,0.167688654357348,0.14986873537094256
Alanen Laanijärvi,67.96611,20.46028,"[0, 1000)",500.0,Historical,7.666666666666667,1.1787864212054753,0.5794253008924388,0.028557593451120983,0.15544365550600595
Alanen Laanijärvi,67.96611,20.46028,"[1000, 4000)",2500.0,Late Holocene,7.684210526315789,1.173129111180904,0.5814492755182927,0.03385707840345284,0.07831756565962085
Alanen Laanijärvi,67.96611,20.46028,"[4000, 8000)",6000.0,Mid Holocene,7.548387096774194,1.1988754605218193,0.5998374458186011,0.019576569882221583,0.13120537881181427
Anderssonbukta,78.3083,20.6083,"[0, 1000)",500.0,Historical,9.277777777777779,1.366871114712377,0.6180834336643914,0.9013768659333932,0.5770082468181538
Anderssonbukta,78.3083,20.6083,"[1000, 4000)",2500.0,Late Holocene,8.25,1.4076745371409976,0.6785283421214318,0.9736937286868772,0.38684762249892934
Bergakyllen,57.18367,16.14528,"[8000, 11500)",9750.0,Early Holocene,9.05,1.5149885205320908,0.6924990833053826,0.16384076979415024,0.23610818863722013
Bergakyllen,57.18367,16.14528,"[11500, 21500)",16500.0,Late Pleistocene,9.875,1.360322418072761,0.5953693305750866,0.16364825201229194,0.13408631731835186
Bjärabygget,56.35,13.46667,"[0, 1000)",500.0,Historical,12.285714285714286,1.900325262058483,0.7599639046909614,0.11840028997622967,0.1695093755444472
Bjärabygget,56.35,13.46667,"[1000, 4000)",2500.0,Late Holocene,13.0,1.9331787080982095,0.7559045451050549,0.029465850502590183,0.14002761433617866
Bjäresjösjön,55.45917,13.75194,"[0, 1000)",500.0,Historical,27.0,2.8643577542449923,0.8706018286180565,0.6021760253782417,0.21562380043297363
Bjäresjösjön,55.45917,13.75194,"[1000, 4000)",2500.0,Late Holocene,20.97222222222222,2.6093124415864004,0.8600514071453991,0.5332743280947172,0.2188742553094042
Bjørnfjelltjørn,68.44417,18.07167,"[0, 1000)",500.0,Historical,15.0,2.048197020564713,0.7579399543302596,0.16284840169218026,0.15544693280719668
Bjørnfjelltjørn,68.44417,18.07167,"[1000, 4000)",2500.0,Late Holocene,13.304347826086957,1.9145860410009599,0.7426742955118265,0.09968289023288665,0.16546421093118366
Bjørnfjelltjørn,68.44417,18.07167,"[4000, 8000)",6000.0,Mid Holocene,10.653846153846153,1.707527307151414,0.7338561321786844,0.07898624282494335,0.16306572227691932
Bjørnfjelltjørn,68.44417,18.07167,"[8000, 11500)",9750.0,Early Holocene,14.222222222222221,1.8957621531842885,0.7163150332623127,0.1321319282873613,0.18157274933542789
Blomoy,60.53333,4.88333,"[4000, 8000)",6000.0,Mid Holocene,12.0,2.10356586291149,0.8465371780026245,0.2716024967125693,0.3085344934567825
Blomoy,60.53333,4.88333,"[8000, 11500)",9750.0,Early Holocene,12.0,1.9371146244241821,0.7816966084361759,0.3774671111940142,0.3473729965230162
Blomoy,60.53333,4.88333,"[11500, 21500)",16500.0,Late Pleistocene,14.25,2.0327859720632846,0.766659980432615,0.6138152593140285,0.3869296175025807
Bocksten site A,57.11667,12.56667,"[0, 1000)",500.0,Historical,12.23076923076923,2.13016890069532,0.857095015480872,0.13058997736332054,0.26216998863201707
Bocksten site A,57.11667,12.56667,"[1000, 4000)",2500.0,Late Holocene,11.375,2.075996719702918,0.8587618907620597,0.051936506962756986,0.2274070734205598
Borgsletta,70.9133,-8.7444,"[0, 1000)",500.0,Historical,6.428571428571429,0.6442452267019128,0.3568219750362142,0.5874684609250054,0.11583284881463807
Brattheivatnet,69.21944,16.025,"[4000, 8000)",6000.0,Mid Holocene,13.666666666666666,1.7997227404854128,0.6922337518475884,0.08617697854718263,0.11504351749263417
Brattheivatnet,69.21944,16.025,"[8000, 11500)",9750.0,Early Holocene,12.85,1.7742316302860828,0.6993524040295791,0.1955876105194968,0.22878959660546286
Brattheivatnet,69.21944,16.025,"[11500, 21500)",16500.0,Late Pleistocene,8.72972972972973,1.3899717297291514,0.7485881020094237,0.9431191771419017,0.57509978104034
Brurskardtjørni,61.41667,8.66667,"[0, 1000)",500.0,Historical,17.333333333333332,2.227599215978397,0.7831924637873304,0.21333997374511723,0.15689865549704252
Brurskardtjørni,61.41667,8.66667,"[1000, 4000)",2500.0,Late Holocene,14.708333333333334,1.9643394379664063,0.734416914671884,0.1277292464157895,0.1160993439089048
Brurskardtjørni,61.41667,8.66667,"[4000, 8000)",6000.0,Mid Holocene,11.045454545454545,1.6544349427950715,0.6936615099028176,0.05713569642180318,0.1065355310130888
Brurskardtjørni,61.41667,8.66667,"[8000, 11500)",9750.0,Early Holocene,10.444444444444445,1.4176356772152703,0.6071377675537921,0.05340625990795823,0.10787701167137782
Bussjösjön,55.46667,13.81667,"[0, 1000)",500.0,Historical,23.25,2.541238402778111,0.8083383754862935,0.3064412024173045,0.434696122459375
Bussjösjön,55.46667,13.81667,"[1000, 4000)",2500.0,Late Holocene,17.333333333333332,2.3291973572028315,0.8204558010633971,0.15546614287685273,0.28543063500041665
Bussjösjön,55.46667,13.81667,"[4000, 8000)",6000.0,Mid Holocene,8.481481481481481,1.6549072589534017,0.7775827389937456,0.00489033242385108,0.29477248466118183
Bussjösjön,55.46667,13.81667,"[8000, 11500)",9750.0,Early Holocene,7.444444444444445,1.1404487834823653,0.5862133842079384,0.01252529844355504,0.2887554047087925
Båtvika,70.9192,-8.7333,"[0, 1000)",500.0,Historical,10.192307692307692,1.2820022977300356,0.5555016545687144,0.5849802658560198,0.18355552841434897
Båtvika,70.9192,-8.7333,"[1000, 4000)",2500.0,Late Holocene,10.0,1.2878005955447696,0.5614065359489365,0.6032127046804788,0.09935864364452185
Bökesjön,55.57556,13.4375,"[0, 1000)",500.0,Historical,16.615384615384617,2.2397702427007573,0.7987496250415131,0.0683546742731746,0.23858894316699267
Bökesjön,55.57556,13.4375,"[1000, 4000)",2500.0,Late Holocene,10.954545454545455,1.962669907691042,0.823115528388361,0.025987090097672264,0.21096601329064268
Bökesjön,55.57556,13.4375,"[4000, 8000)",6000.0,Mid Holocene,9.6,1.92227193945222,0.8528515540186592,0.011190959234738857,0.23524637688367936
Dags Mosse,58.32288,14.70652,"[0, 1000)",500.0,Historical,11.1875,1.937999869534715,0.8042014084646383,0.051313208699903294,0.2748881160170155
Dags Mosse,58.32288,14.70652,"[1000, 4000)",2500.0,Late Holocene,10.48936170212766,1.9765866348853978,0.8466390366751204,0.02793829375584832,0.3278063304420081
Dags Mosse,58.32288,14.70652,"[4000, 8000)",6000.0,Mid Holocene,9.639344262295081,1.8908473734977926,0.8374839556244027,0.18472482015054012,0.3017953139346509
Dalmutladdo,69.16667,20.71667,"[0, 1000)",500.0,Historical,9.875,1.4966692603171978,0.655476680602853,0.06810205446410811,0.0811167287136304
Dalmutladdo,69.16667,20.71667,"[1000, 4000)",2500.0,Late Holocene,8.583333333333334,1.3724578260017282,0.6410740123468149,0.06240698941309986,0.16655035678301258
Dalmutladdo,69.16667,20.71667,"[4000, 8000)",6000.0,Mid Holocene,7.275862068965517,1.2807080376025468,0.6472716197833676,0.07997457975887225,0.18811052355661828
Dalmutladdo,69.16667,20.71667,"[8000, 11500)",9750.0,Early Holocene,13.545454545454545,1.468581230870037,0.5697401818361167,0.13664444527171804,0.13849844814508927
Dalsträsk,60.33622,19.99883,"[0, 1000)",500.0,Historical,12.266666666666667,1.9050321045755811,0.7648707184950216,0.09044645759453782,0.17340262562161232
Dalsträsk,60.33622,19.99883,"[1000, 4000)",2500.0,Late Holocene,13.775,2.0198847358370298,0.7731274312538339,0.06638773137718132,0.14819412956600017
Dolerittneset,78.075,20.9225,"[0, 1000)",500.0,Historical,11.071428571428571,1.3697323916038069,0.5720775868814943,0.5856387654017006,0.3639554177710642
Donvold,68.13333,13.58333,"[0, 1000)",500.0,Historical,7.333333333333333,1.1420409811440884,0.5614136172381139,0.23583431392057402,0.22155632754277624
Donvold,68.13333,13.58333,"[1000, 4000)",2500.0,Late Holocene,9.125,1.6467600811827132,0.7477265022371996,0.23807260726196858,0.4869703387232694
Donvold,68.13333,13.58333,"[4000, 8000)",6000.0,Mid Holocene,9.0,1.455375727253694,0.6668586080072136,0.20187124490943825,0.34963201428267787
Donvold,68.13333,13.58333,"[8000, 11500)",9750.0,Early Holocene,6.5,1.2491794229006068,0.6644816376160994,0.7006770771405546,0.5287236239088442
